id,title,description_snippet,umbrella,subcluster_label,seed,confidence,videoCount
UCNf9HkMqlTFiick46DGXY7g,Damien Cooper,"Cinematography, lighting, dad jokes and all the real life struggles of being in the creative field",Unclassified,,,0,363
UC1CAa_tjoI4-bEsEjxvHJXQ,Dane McBeth Publishing,"Founder of PaysToPublish.com and living in British Columbia, Canada.   I make videos based around self-publishing books …",Unclassified,,,0,170
UCw2THyt0iIxN6pdCdL8LA8Q,DangerTV,"Welcome to DangerTV, the most dangerous place on Youtube! We have all of the best reality, documentary series and clips …",Unclassified,,,0,1977
UCwjZLzqHYImv4oCJQcZ8Hig,Daniel Schiffer,Let's create.,Unclassified,,,0,256
UCRqGBcNkSE1-w9pbh_j7bSw,Daniella Benita,"Now taking clients in Doylestown, Pennsylvania! Please check out my website (linked under my channel banner) for locatio…",Unclassified,,,0,59
UCKCS2T2uR_7h4zpVETbcFjg,David Bayer,,Unclassified,,,0,354
UCvKRFNawVcuz4b9ihUTApCg,David Shapiro,Liberate humanity from drudgery.,Unclassified,,,0,562
UCO01dS4TaSRSyOipXEYPL6Q,David Sharpe,David Sharpe and the Legendary Marketer team deliver one-of-a-kind interviews that won’t be found anywhere else. On our …,Unclassified,,,0,2051
UCobfgsTVhaIyIRAms-M4JWw,Deep Woods Custom Guitars,,Unclassified,,,0,8
UCyA6KQ8PgP98E0ToIdq8c7A,Dr. Alex Tubio,Houston Filipino Chiropractor   To schedule an appointment:  Visit: https://www.DrAlexTubio.com/ Email: DrTubio@gmail.co…,Unclassified,,,0,1733
UC073quTeFarhKNe8ZuC6Qig,Drew Builds Stuff,My name's Drew and I like to build and create. This channel has no specific theme -- whatever I think is a cool build or…,Unclassified,,,0,54
UCL4cw2w7kMcTpsqGMtzs02w,Dub Element,Dub Techno and Deep Progressive Techno Selection.,Unclassified,,,0,209
UC_HzoVeEzCUsHJtHCemb9sg,Dylan John,What's up creative peeps! If you're looking to take your videography and content creation and Final Cut Pro skills to th…,Unclassified,,,0,381
UCKUSu0zaUcTg0L6Bsxr51og,Editors Keys,Become a better content creator: https://www.youtube.com/editorskeys?sub_confirmation=1  https://www.editorskeys.com,Unclassified,,,0,709
UCskD50ri3723Tk1SkS-qAIA,El Estepario Siberiano,,Unclassified,,,0,915
UCgslJ2VwZHVxw-D095WQ3lQ,Elise Trouw,Multi-Instrumental Recording Artist Pearl + Paiste + Vater Endorsed Drummer,Unclassified,,,0,27
UCN7kH4qcPPPC_KWlX6Ze-Iw,Elizabeth G,,Unclassified,,,0,0
UCXAWX5r69jcqPTNAhXCSA7Q,Elon Musk Fan Zone,The Elon Musk Zone YouTube Channel  — The Elon Musk Fan YouTube channel covering the latest Elon Musk news!  ⚠️ DISCLAIM…,Unclassified,,,0,1016
UCokX6YIQymfsKSJvqo9dGEQ,Endless RVing,"We are here to make your RV life easier and more enjoyable!   We are Izzy, MJ, Jason, and fur baby Bowser and we are End…",Unclassified,,,0,1655
UCVIo_UX--1R03WE_U3I6xEA,Engineered Arts,,Unclassified,,,0,87
UCAPeu_wnvIB5AkQ-xnkLOJA,Eric Welander,I love talking about Apple and smart home tech here on YouTube. I’ve been working in app development on Apple's platform…,Unclassified,,,0,456
UCDjvi-_c_ffte2LaNaE2j8g,F-22 Demo Team,The official YouTube Channel for the F-22 Raptor Demonstration Team.,Unclassified,,,0,43
UCihmYOoCWYffpuMfuP7BAqA,FD Real,FD Real is dedicated to bringing our viewers high-quality entertainment for free. You will experience the lives of excep…,Unclassified,,,0,315
UCnvgtzmvlb6d58d9BbOKuMA,Fstoppers,Subscribe to our channel here: https://www.youtube.com/@FStoppers?sub_confirmation=1   Fstoppers is a community of photo…,Unclassified,,,0,946
UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,"Gary Vaynerchuk is a serial entrepreneur and serves as the Chairman of VaynerX, the CEO of VaynerMedia, and the Creator …",Unclassified,,,0,6376
UCR1LVH-teuA3-Kfy576TYSw,georgemichael,The official YouTube channel for George Michael.  Celebrating 40 years of Careless Whisper 🎷,Unclassified,,,0,101
UCfE5Cz44GlZVyoaYTHJbuZw,Guga Foods,"Hi, Thanks for visiting Guga Foods! I am here too share all my favorite recipes with you.  Cooking things me and my fami…",Unclassified,,,0,562
UC7HOGKjSKzP5PBfmdaAkbQg,Guildhall School of Music & Drama,"Guildhall School is a vibrant, international community of musicians, actors and production artists in the heart of the C…",Unclassified,,,0,234
UC8YXmNHJ-JS0dd7z4Z9ChXA,Harv Video/Audio Stuff,"I make videos about video, gear, cameras, lenses, audio recording, guitars and other things that interest me.   Connect …",Unclassified,,,0,468
UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,"The HISTORY® Channel, a division of A+E Global Media, is the premier destination for historical storytelling. From best-…",Unclassified,,,0,11054
UCZEWB-9BQ2DW-gwBlJJaWNg,Hollywood:FCP,"This channel was started by Josh Beal and Jeff Asher, two editors working in scripted TV. We use Avid all day at work. T…",Unclassified,,,0,27
UCeEqIv7lVwOOLnwxuuhQFuQ,Hugh Hou,Kimchi & I make immersive films and teach what we learn - so you can tell stronger stories in 360° and VR180. I’m Hugh H…,Unclassified,,,0,1218
UC-ptWR16ITQyYOglXyQmpzw,IAmTimCorey,"My goal is to make your life easier, specifically when it comes to learning software development. I remember what it was…",Unclassified,,,0,888
UCZZwD8OcPUOo1WOVad_tKWA,Idustrial Revolution,We make awesome Final Cut Pro (FCPX) Plugins and Templates. We also host some great free Final Cut Pro and Motion tutori…,Unclassified,,,0,182
UCHsThxa9HvDpSywv4bP55NA,J. Gravelle,,Unclassified,,,0,99
UCHzfWTvyt4VY7QTKKwY84Tw,Jack Cole,I teach Video Editors how to get more Clients 📈,Unclassified,,,0,1000
UC-U0quP8-RF1pvyCessLg0g,Jake Sloan,"I review and compare cameras, lenses and drones in the harsh Alaskan wilderness.  Taking filmmaking and photography equi…",Unclassified,,,0,468
UCf9BO33b-MnIxB5y0azrxmg,Jimmy Carr,"Welcome to Jimmy Carr's official YouTube channel, where you can find all the best bits from his stand-up comedy shows, T…",Unclassified,,,0,2035
UC-2YHgc363EdcusLIBbgxzg,Joe Scott,"Ask Questions. Get interesting, amazing, funny, inspiring, eye-opening, mind-shifting, informative answers. Every week. …",Unclassified,,,0,923
UC8Sh9yuLqlpnQdBdcfwFErA,Just One Dime,"I started with a single dime.   $24,000 in debt, stressed out in my marriage, and sick of spending my days building some…",Unclassified,,,0,388
UCkUDijzPGiHVBSeOktgpMiQ,K9’s and Chaos,"Dedicated to all the K9 Warriors, who help protect our  Country and it’s communities. https://www.youtube.com/channel/UC…",Unclassified,,,0,288
UC-s3Pb8uIBm0QN8MVaulJKA,Kindlepreneur,Kindlepreneur TV is helping people to learn how to sell more books today.   My channel is dedicated to helping self publ…,Unclassified,,,0,142
UCQaqi80QVyIhFQ6HZTXCeOg,King County Sheriff Air Support,King County Sheriff's Office Air Support Unit,Unclassified,,,0,289
UCyKUfgfeRaCrqMr9b0UcSoQ,Kraken The Box,"YO HO ME HEARTIES!  Follow me, Captain Kori and me crew mate Pixi, as we discover the treasures to be found in the pirat…",Unclassified,,,0,177
UCW7bg34be3iNMXjPNctjYKA,KSENIA BUZINA,,Unclassified,,,0,21
UCFbtcTaMFnOAP0pFO1L8hVw,Kyle Hill,Award-winning science educator. Nuclear communications expert. BASILISK Head of Science Education and Outreach. CFF Dogs…,Unclassified,,,0,429
UCSvCR76uY0R8mjVETskWRvg,Larry Jordan,"Nobody understands media production and and post-production like Larry Jordan.  Need training in Apple Final Cut Pro, Ad…",Unclassified,,,0,1365
UCzUyasGg5A03r3zPkorqIBQ,Learn Color Grading,"Free Resolve 16 crash course!  Learn the basics of each and every tab/page in Resolve (Media, Cut, Edit, Fusion, Color F…",Unclassified,,,0,177
UCyy1JVscJxxJfJx2IrQm2Ug,Learn From Most Influential Investors,,Unclassified,,,0,198
UCWWq67D7TofEPq_eBiaYCWw,Learn Online Video,"Helping you Master The Art of Online Video Production.  Watch easy to understand tutorials,  learn epic camera tricks & …",Unclassified,,,0,174
UCpa-Zb0ZcQjTCPP1Dx_1M8Q,LegalEagle,Do you want to know how our legal system works?  You’ve come to the right place.  LegalEagle is all about giving you an …,Unclassified,,,0,818
UCD5ZsXiIFlrWrbOCM6rEDKQ,Leonid & Friends,Leonid & Friends,Unclassified,,,0,168
UCq6TJZjUFp877PkgeJkETew,Lester Picker,"My Youtube channel is designed with thoughtful, passionate photographers in mind. With more than 50 years experience in …",Unclassified,,,0,49
UCSHZKyawb77ixDdsGog4iWA,Lex Fridman,Lex Fridman Podcast and other videos.,Unclassified,,,0,847
UCItFLm69UtzH5FYCnHJfAHg,LITTLE BIG BEAT STUDIOS,"LITTLE BIG BEAT STUDIOS offers high-end mixing and mastering plus filming and marketing services to artists, labels and …",Unclassified,,,0,393
UCZ2wHrgU2nr0CoO0KNSDV5g,Live Nation,We bring artists and fans together around the 🌎 through the power of live events 🎤 🎸🎶 Find upcoming tours near you at Li…,Unclassified,,,0,2164
UCOwiQHSjCZdLfurAAnh7v7w,LLTArchived2,,Unclassified,,,0,0
UCBeWUqDIm65lB9w9MuDAWrA,Locometric,,Unclassified,,,0,37
UCG2Any5yo0Lgiwf3o_GiF-A,Los Lonely Boys,Welcome to the Official YouTube Channel of Los Lonely Boys!,Unclassified,,,0,74
UCZrvodIV5I4meIJl8P2NF6A,Luke Million,Luke Million a.k.a. The Synth Lord,Unclassified,,,0,290
UCmRE4gvdeDkwf1oJrsabWWQ,MAKE. ART. NOW.,Follow your dreams with calculated abandon.    WHAT'S IN MY CAMERA KIT?  https://makeartnow.com/mykit  IG  https://www.i…,Unclassified,,,0,113
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,Former NASA engineer. Current CrunchLabs founder and friend of science.  Answers to some common questions:  1) I make a …,Unclassified,,,0,229
UCjvBO4kjuBSYe6Bi3RYQAQA,"Mary Kate ""M.K."" Williams","M.K. Williams shares her author journey and short, information-packed videos to help aspiring authors realize their ambi…",Unclassified,,,0,580
UCP5A5lVxaT7cO_LehpxjTZg,Matt Diggity,"Matt Diggity shares ""real"" SEO techniques that work because they're based on real test results.  No theory, no guesswork…",Unclassified,,,0,537
UCwdVOry0oNF9WIe_3uCfz9Q,Matt's Off Road Recovery,"We do off road towing, recoveries, and rescues. We cover beautiful southern Utah, near Zion National park.  We have a un…",Unclassified,,,0,978
UCFTEN8q_sQNHVENU4KcCMAA,Matthew Anderson,,Unclassified,,,0,87
UC4InHaWu_I_vSuBPlVj_L3Q,mbmars01,MBMARS Productions presents mbmars01 and mbmars02 (please subscribe to both channels) * Channel 1: mbmars01 (https://www…,Unclassified,,,0,544
UC1vts8sER8VOrgh9L8RyBOQ,Michael Ramsey:                       On The Riser,"Touring Drummer, Educator, Drum Technician    #drumlessons  #rickkroadtrip #biggunacdctribute #pearldrums #zildjiancymba…",Unclassified,,,0,142
UCYEiWHoP2IHHgjOapTAYMQw,Mike Russell,"I'm Mike Russell, from Music Radio Creative My mission is to provide you with the highest level of education in the fiel…",Unclassified,,,0,1926
UCYenDLnIHsoqQ6smwKXQ7Hg,#Mind Warehouse,,Unclassified,,,0,957
UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,"Simply put: cool physics and other sweet science.  ""If you can't explain it simply, you don't understand it well enough.…",Unclassified,,,0,293
UCSL3dIAj0iMBz1V4Rz-AUFA,MOTIV8,hello and welcome to MOTIV8 this channel will be all about motivational speeches i hope you get inspired or motivated.,Unclassified,,,0,42
UCaVp-iXRPfiSxbkhmi56IHQ,MrMBB333,"My name is Michael, ""MrMBB333"" or as some call me ""The Earth Watchman"". Earth is a very fascinating place that is consta…",Unclassified,,,0,3297
UC5ve4DxNMLRXOetCYWFUkYw,Música Progressiva,"Canal criado para divulgar a Música Progressiva (Rock Progressivo) de todos os países, estilos e épocas.",Unclassified,,,0,74
UC8JT2m0mKEgvEtie3JNKwew,Naked Science,"Learn and discover with Naked Science, the channel dedicated to bringing you the world of science and technology.  Explo…",Unclassified,,,0,682
UC_7KM3ANRHy2zhQ_zl-C4XQ,Nathan Cool Photo,"Real estate photography tutorials, techniques, and industry news.",Unclassified,,,0,355
UCejgtTHroWI5sF_2-fuiF4Q,Nature's Always Right,"Explore gardening, homesteading, regenerative agriculture, and DIY farming with me, Steven. Follow my journey as I build…",Unclassified,,,0,391
UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,"NBC Sports Group serves sports fans 24/7 with premier live events, insightful studio shows, and compelling original prog…",Unclassified,,,0,42060
UCCjG8NtOig0USdrT5D1FpxQ,NewsNation,"America’s source for fact-based, unbiased news for all Americans.  📺 Find us on your TV: https://www.newsnationnow.com/j…",Unclassified,,,0,75192
UCunQ-SNSI9uOZwrb62po_tQ,Next Level Riding Clinics,The Next Level Riding Clinics channel is all about informative video’s dedicated to the snowmobile community.,Unclassified,,,0,147
UCRmm7T6mAm-QBNvnEaIl3AA,Nick Johnston,https://www.patreon.com/nickjohnstonhomework,Unclassified,,,0,61
UCX9mv-ifhUnNrRi8qdscFeQ,Nick Powell Photography,"I am a professional photographer based in West Sussex, UK. I specialise in commercial, interior and property photography…",Unclassified,,,0,47
UCxMoaKZtWKFuHGr7LIInOOQ,Nick Stephenson,"I'm a USA Today Bestselling author of fiction (thrillers and sci-fi), non-fiction, and I also teach authors how to find …",Unclassified,,,0,19
UCM2FoYtC-2PQzMr_gDfQnHg,No Film School,"Film, TV, and tech news to help make you a better filmmaker.",Unclassified,,,0,792
UC2mLN9pZNE8_ccLHmA1SHvA,NovationHelp,,Unclassified,,,0,184
UC5kQUZFCbuZQorVnzS6P_xA,Olivier Girard - the Posture Guy,"🧠 I teach technically minded people how to use their body better — to prevent pain, improve posture, and feel more in co…",Unclassified,,,0,442
UCdYVQ4i7eZD_GJkL4yxkKCw,Olufemii,"Nigerian-American Josh Olufemii founded Olufemii in 2015, with the goal of taking the mystique out of quality video prod…",Unclassified,,,0,735
UC2itzMBo0R0kHZ8cF7nrcaA,Oregon Public Broadcasting,"Oregon Public Broadcasting (OPB) is an independent, nonprofit media organization powered by the generous support of memb…",Unclassified,,,0,1521
UCeE3lj6pLX_gCd0Yvns517Q,Ozzy Man Reviews,"Reviewing wildlife, sport, WTF viral vids, conducting celeb interviews, and analysing the odd tv show or movie (it all s…",Unclassified,,,0,1121
UCTQnU1zyhvwscc2P5QS-tLw,Pakman Live,The David Pakman Show live and lifestyle clips!,Unclassified,,,0,1028
UCs030M7gu_Pi2ag9a12oa8w,Pan Rocks!,"Videos of all things ""Pan Rocks!: The Ultimate Steelpan Rock Show",Unclassified,,,0,68
UCpxYSWgxVt3Pyn1ovXsGQ0g,PBS Terra,PBS Terra is the home of science and nature shows from PBS Digital Studios. Subscribe to explore the frontiers of scienc…,Unclassified,,,0,455
UCkRhsBbu0tvQrXBtvpl0kIg,Peaches Skin Care,We want to help you love the skin you're in.  You don't need makeup or foundation to cover up your skin if you take care…,Unclassified,,,0,604
UCXElBPBCkhdDWMmCPMFq_6A,Peter Makholm,Peter Makholm petermakholm   PETER MAKHOLM  I am a video creator and gimbal operator.  My filmmaking evolves around cine…,Unclassified,,,0,216
UC9n0tUXP7QB5ALfg3PFO19A,Photography Pro,Let's be honest... You didn’t buy an expensive camera to take photos on Auto mode forever.   Photography Pro shares phot…,Unclassified,,,0,24
UChYbZdv4UApRyuAwCKMVuYg,Pixel Film Studios,"Established in 2006, Aliso Viejo, California-based Pixel Film Studios is an innovative developer of visual effects tools…",Unclassified,,,0,1933
UC9OFhiq5cs10XYGDwBO_7xg,Porcupine Tree,This is the official YouTube channel for Porcupine Tree.,Unclassified,,,0,49
UCWSRFubEPtc-EvqNChdc-ZQ,Portal Joss Stone,Portal Joss Stone www.facebook.com/PortalJossStone www.twitter.com/PortalJossStone www.instagram.com/PortalJossStone,Unclassified,,,0,244
UC2rzsm1Qi6N1X-wuOg_p0Ng,Project Farm,"I test all sorts of things, from tools to automotive products, to help viewers make informed purchasing decisions and to…",Unclassified,,,0,481
UCK5-hzSvMAPSSo2vH_LtNKw,Quazi Johir,"I started this channel in 2018, when I was deeply frustrated with the thought of working a 9-5 corporate job for the nex…",Unclassified,,,0,932
UC3uCNdbm9RZb3F_KZKX5u4w,Rainbow Gardens,"Genesis 9: 13-17  KJV 13  I do set my bow in the cloud, and it shall be for a token of a covenant between me and the ear…",Unclassified,,,0,947
UCif0FLmduEgE0i6ApPOf6IQ,RemotePilot101,,Unclassified,,,0,263
UCLBHPoY3NugnZYURxln3fKQ,Rene Ritchie,I make videos about technology and what it means for our culture and lives,Unclassified,,,0,497
UCCJ56k8nBeqWLoxNa6DToAQ,Rhett Shull,"Gear reviews, how to, lessons and vlogs from Atlanta/Nashville based guitarist Rhett Shull. Subscribe to stay up to date…",Unclassified,,,0,662
UCcp-HjtmTMeIJ-0RrSHSGLA,Rick Beato 2,Welcome to Rick Beato 2. On here you will find highlights and original short form content.,Unclassified,,,0,507
UCuR8L5fK6ZXyApcL7vMcv0g,Robert Benjamin,I created this YouTube channel to provide you with as much value as possible. I upload videos about how to grow on TikTo…,Unclassified,,,0,1493
UC5C-Asy_myoWCkLEtZR72SA,Rush,The official RUSH YouTube channel,Unclassified,,,0,84
UCJU1nWTl6sC_KaXgkqcnBnA,RV Pastor Kevin,,Unclassified,,,0,101
UC_tusQ99Bno--GHjhb1Aa6g,RyanNangle,"Final Cut Pro X Tutorials, tips, vlogs, gear reviews and free downloads!",Unclassified,,,0,311
UCegKDBFMUSQNeWe4FAB7aig,Sade,,Unclassified,,,0,4
UCpsHnULJAkwwckxzdmspKDw,sawyerhartman,Learn Photography | Stay Motivated Film Director / Travel Vlogger Making Content For Content Creators!  #photography #fi…,Unclassified,,,0,622
UCEtMRF1ywKMc4sf3EXYyDzw,ScottHermanFitness,I focus on keeping things simple.  The basics work and all you need to do is stick to them and be consistent to have you…,Unclassified,,,0,1977
UCRhV1rWIpm_pU19bBm_2RXw,Sean Carroll,"Theoretical physicist, writer and talker. Trying to understand how things work deep down.",Unclassified,,,0,553
UCxPmXKxJcDAhuYVHeFFyGTA,Sebastian Maniscalco,IT AIN'T RIGHT TOUR 2024 happening now! TOUR 2025 tickets are officially on sale now! #BOOKIE streaming now on MAX #TheP…,Unclassified,,,0,1445
UCJm2TgUqtK1_NLBrjNQ1P-w,Second Thought,Second Thought is a channel devoted to education and analysis of current events from a socialist perspective. Welcome!  …,Unclassified,,,0,406
UCkOTYGNYxS6jq7JT3Fk5NEQ,Self Publishing Titans,"Subscribe to my channel. :) Learn how my wife and I sold 170,000 books on Amazon KDP.",Unclassified,,,0,74
UC4B8ywA2Cz_K95w2oeWxizg,Sell on Amazon,,Unclassified,,,0,522
UCadiUi-KZoFk1K5ZDsluLcA,Sen. Adam Schiff,Husband. Father. U.S. Senator for California. Fighting for an economy that works for everyone and for our democracy.,Unclassified,,,0,2321
UC5J-7sW8cVzCGyKN8ym4QsA,Serge Morgotch,"Everyone has a great story, and we want to help you tell it better through video. Tutorials on everything from filming, …",Unclassified,,,0,450
UCN9Qw0JvYMh2HwmwSSy3n0w,Shawn Dolinski,"This Guy makes filmmaking & photography tutorials for everyday, average, regular people like you and me. So if you want …",Unclassified,,,0,864
UCAc1soZsuAm94dgctvyGAzw,Shot by Myles,Yorkshire tea addict aiming to share knowledge on camera gear and filmmaking.  Check out the link below where I'll post …,Unclassified,,,0,19
UCif4ZSCR6TQ9NgliluF6Ksw,SL Epoxy Floor Paint,,Unclassified,,,0,150
UCo1t7ajBc5r44Ejxnod-h7Q,Snarky Puppy,,Unclassified,,,0,11
UC_lGMZMTN7Oh9DRKV2eaMtg,SPACE DESIGN WAREHOUSE,"For Business/Sponsorship inquiries - Email me spacedesignwarehouse@gmail.com  Apple Computer Reviews, tech reviews, home…",Unclassified,,,0,247
UCN3d4-i8WLD7LP-9JgADIBg,Sterling Patrick Fuentes,,Unclassified,,,0,190
UC-9mlH6az1Q_XUP3fw1N4Fg,Steven Wilson,THE OVERVIEW - OUT NOW Get tickets to The Overview Tour 2025,Unclassified,,,0,262
UCUFoQUaVRt3MVFxqwPUMLCQ,StudioBinder,"StudioBinder is a production management solution that helps video and photo productions create call sheets, shot lists, …",Unclassified,,,0,607
UCT5C7yaO3RVuOgwP8JVAujQ,Taskmaster,"Well done! You've found the #Taskmaster YouTube channel for full eps, exclusives, best bits, interviews and more!  New e…",Unclassified,,,0,1508
UCAVglge_6d2KfnNK3Ar_gag,Taylor Brown,"Welcome to my channel! I share Photo & Video tips. Currently based in the DMV area, USA & from Houston TX",Unclassified,,,0,145
UCVXr-MS0WcLk5m8D0iVkZ3A,Tazzie Tazzie,,Unclassified,,,0,1
UC6ckWeFOnxq5JNGdB5_QKcg,Ted the Butcher TV,,Unclassified,,,0,18
UC0p-6V0WzrDWfwUQlyKpv6w,Texas Academy of Family Physicians,,Unclassified,,,0,61
UCz0zSuukBglV2YwG3_7uKRg,The Apple Circle,Dedicated to covering everything Apple. Come take a bite with us. Part of JFL Network.  Please email info@theapplecircle…,Unclassified,,,0,374
UCuvjQYKukKjVyhSVxQibgOw,The Calum Johnson Show,Curious questions from a curious mind with the most remarkable people on the planet.  Hit the subscribe button and join …,Unclassified,,,0,421
UCry6nxAo2tfVyO6lEboiU3w,The Carol Burnett Show Official,"Cited as one of the best TV shows of all time by TV Guide, Entertainment Weekly, TIME, Rolling Stone, and others, “The C…",Unclassified,,,0,949
UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,"64% of our viewers don't realise they don't subscribe, please double check, thank you!!",Unclassified,,,0,516
